01/01/2018,,Hours,2018,2019,2020,2021,2022
04/01/2018 02:00,04/01/2018 03:00,75,42.65,51.1,25.1,56.91,134.97
04/01/2018 03:00,04/01/2018 04:00,76,42.61,51.02,23.77,52.03,99.96
04/01/2018 04:00,04/01/2018 05:00,77,44.03,50.33,21.86,38.86,85.09
04/01/2018 05:00,04/01/2018 06:00,78,44.77,55.5,21.55,38.11,93
04/01/2018 06:00,04/01/2018 07:00,79,49.24,63.76,22,49.81,127.05
04/01/2018 07:00,04/01/2018 08:00,80,53.01,65.07,23.97,57.6,162.01
04/01/2018 08:00,04/01/2018 09:00,81,53.01,74,26.51,56.93,165.46
04/01/2018 09:00,04/01/2018 10:00,82,67.03,79.59,32,60.07,168.09
04/01/2018 10:00,04/01/2018 11:00,83,72.67,77,34.57,62.37,164.23
04/01/2018 11:00,04/01/2018 12:00,84,74.42,64.94,35.24,61.96,158.88
04/01/2018 12:00,04/01/2018 13:00,85,56.89,65,36.62,62.02,146.38
04/01/2018 13:00,04/01/2018 14:00,86,50,65,36.62,61.83,142.27
04/01/2018 14:00,04/01/2018 15:00,87,44.1,68.04,38.43,61.49,139.03
04/01/2018 15:00,04/01/2018 16:00,88,44.53,70.84,37.6,60.06,142.75
04/01/2018 16:00,04/01/2018 17:00,89,44.53,83.8,32.43,60.11,142.02
04/01/2018 17:00,04/01/2018 18:00,90,64.1,91.1,46.41,73.92,159.01
04/01/2018 18:00,04/01/2018 19:00,91,74.99,76,59,100.4,163.46
04/01/2018 19:00,04/01/2018 20:00,92,64.69,75.3,50.57,83.98,157.91
04/01/2018 20:00,04/01/2018 21:00,93,52.01,63.6,40.62,72.5,140.68
04/01/2018 21:00,04/01/2018 22:00,94,54.31,63.57,35.91,60.03,118.85
04/01/2018 22:00,04/01/2018 23:00,95,52.1,62.49,34.94,57.06,117.73
04/01/2018 23:00,05/01/2018 00:00,96,43.59,66.03,33.35,54.72,84.5
05/01/2018 00:00,05/01/2018 01:00,97,42.99,58.72,39,55.95,115.27
05/01/2018 01:00,05/01/2018 02:00,98,45.9,57.1,28.46,54.01,101.28
05/01/2018 02:00,05/01/2018 03:00,99,45.42,52.97,27.38,54.08,90.01
05/01/2018 03:00,05/01/2018 04:00,100,44.87,52.05,26.35,49.5,81.16
05/01/2018 04:00,05/01/2018 05:00,101,44.87,51,26.23,49.42,78.25
05/01/2018 05:00,05/01/2018 06:00,102,42.94,50.76,24.96,48.94,84.72
05/01/2018 06:00,05/01/2018 07:00,103,43.57,52.56,25.38,52.17,129.41
05/01/2018 07:00,05/01/2018 08:00,104,46.97,56,26.02,57.09,179.99
05/01/2018 08:00,05/01/2018 09:00,105,52.02,61.65,28.09,55.09,175.3
