01/01/2018,,Hours,2018,2019,2020,2021,2022
20/04/2018 06:00,20/04/2018 07:00,2623,43.19,38.12,8.15,67.86,163.44
20/04/2018 07:00,20/04/2018 08:00,2624,50,42,15.26,83.54,176.68
20/04/2018 08:00,20/04/2018 09:00,2625,61.2,56,25.28,93.95,210.45
20/04/2018 09:00,20/04/2018 10:00,2626,73.4,58.96,27,84.22,200.02
20/04/2018 10:00,20/04/2018 11:00,2627,70,54,21.99,74.56,179.61
20/04/2018 11:00,20/04/2018 12:00,2628,50,43,6.15,67.57,160.23
20/04/2018 12:00,20/04/2018 13:00,2629,42.69,34.1,4.05,63.49,150.01
20/04/2018 13:00,20/04/2018 14:00,2630,41.6,33.8,1.99,62.61,137.87
20/04/2018 14:00,20/04/2018 15:00,2631,40.1,30.96,-5.04,60.02,132.55
20/04/2018 15:00,20/04/2018 16:00,2632,39,34.91,-10.99,57.69,132.03
20/04/2018 16:00,20/04/2018 17:00,2633,38.07,38.16,-10.03,57.59,137.46
20/04/2018 17:00,20/04/2018 18:00,2634,42.03,48.92,3.57,59.58,164
20/04/2018 18:00,20/04/2018 19:00,2635,54.8,57,18.34,73.67,182.86
20/04/2018 19:00,20/04/2018 20:00,2636,62,64.14,30.57,86.19,199.18
20/04/2018 20:00,20/04/2018 21:00,2637,64.91,67,32.41,89.54,197.77
20/04/2018 21:00,20/04/2018 22:00,2638,69,64.9,33.83,81.05,187.52
20/04/2018 22:00,20/04/2018 23:00,2639,64,50.7,26,72.5,165
20/04/2018 23:00,21/04/2018 00:00,2640,43.6,53.01,15.76,63.8,149.97
21/04/2018 00:00,21/04/2018 01:00,2641,52,47.52,5.64,63.61,145.77
21/04/2018 01:00,21/04/2018 02:00,2642,48.92,44.93,3.76,57.95,140.21
21/04/2018 02:00,21/04/2018 03:00,2643,46.42,41.7,3.34,57.39,139.56
21/04/2018 03:00,21/04/2018 04:00,2644,44.72,39,0.04,57.9,139.43
21/04/2018 04:00,21/04/2018 05:00,2645,44,37.99,3.33,55.96,140.64
21/04/2018 05:00,21/04/2018 06:00,2646,42.19,37.92,4.03,55.79,146.4
21/04/2018 06:00,21/04/2018 07:00,2647,44,38.43,8.55,58.84,153.94
21/04/2018 07:00,21/04/2018 08:00,2648,44.41,42.03,11.4,64.55,173.67
21/04/2018 08:00,21/04/2018 09:00,2649,46.08,50,17.06,72.02,199.64
21/04/2018 09:00,21/04/2018 10:00,2650,69.08,53.89,18,68.82,184.79
21/04/2018 10:00,21/04/2018 11:00,2651,67.99,50,5,66.21,168.34
21/04/2018 11:00,21/04/2018 12:00,2652,54.7,43,0,63.76,156.83
21/04/2018 12:00,21/04/2018 13:00,2653,48.2,38,0.01,60.8,146.06
21/04/2018 13:00,21/04/2018 14:00,2654,42.4,32.42,-0.83,59.71,135.13
21/04/2018 14:00,21/04/2018 15:00,2655,40.97,23.13,-3.4,55.8,130.07
21/04/2018 15:00,21/04/2018 16:00,2656,40.92,24.25,-7.2,53.77,124.01
21/04/2018 16:00,21/04/2018 17:00,2657,40.2,34.75,-0.08,53.09,128.33
21/04/2018 17:00,21/04/2018 18:00,2658,40.98,40.2,1.99,55.01,144.97
21/04/2018 18:00,21/04/2018 19:00,2659,46.6,48.85,20,66.8,169.89
21/04/2018 19:00,21/04/2018 20:00,2660,62,51.88,32.15,74.17,178.33
21/04/2018 20:00,21/04/2018 21:00,2661,64.1,56,32.3,74.5,179.97
21/04/2018 21:00,21/04/2018 22:00,2662,67.96,55.5,33.37,76.95,173.79
21/04/2018 22:00,21/04/2018 23:00,2663,57,40,29.1,62.98,158.78
21/04/2018 23:00,22/04/2018 00:00,2664,43,48.9,15,55.14,139.94
22/04/2018 00:00,22/04/2018 01:00,2665,54.93,37,4.8,60.92,152.66
22/04/2018 01:00,22/04/2018 02:00,2666,45.19,37.49,3.69,57.94,138.57
22/04/2018 02:00,22/04/2018 03:00,2667,49.91,37.6,3.17,57.92,137
22/04/2018 03:00,22/04/2018 04:00,2668,45.2,35.98,3.74,57.93,134.97
22/04/2018 04:00,22/04/2018 05:00,2669,45.86,32,4.08,57.92,132
22/04/2018 05:00,22/04/2018 06:00,2670,39,35.13,5.37,57.96,136.78
22/04/2018 06:00,22/04/2018 07:00,2671,38.08,39.91,12.1,62.5,147.03
22/04/2018 07:00,22/04/2018 08:00,2672,38.09,37.2,26.28,70.22,148.99
22/04/2018 08:00,22/04/2018 09:00,2673,36.1,46.8,30.2,84.78,180.99
22/04/2018 09:00,22/04/2018 10:00,2674,41.29,47.68,32.48,86.78,175.5
22/04/2018 10:00,22/04/2018 11:00,2675,52.75,49,26.66,75.16,155.8
22/04/2018 11:00,22/04/2018 12:00,2676,57.5,37,23,62.58,143.72
22/04/2018 12:00,22/04/2018 13:00,2677,52.8,33.95,17.8,61.94,143.38
22/04/2018 13:00,22/04/2018 14:00,2678,50,32.5,11.28,58.23,127.85
22/04/2018 14:00,22/04/2018 15:00,2679,42,29.99,3.97,57.49,115.03
22/04/2018 15:00,22/04/2018 16:00,2680,40,32,1.64,54.02,108.6
22/04/2018 16:00,22/04/2018 17:00,2681,38.52,37.5,3.67,54.05,115.07
22/04/2018 17:00,22/04/2018 18:00,2682,40.78,41.4,19.3,55.43,130
22/04/2018 18:00,22/04/2018 19:00,2683,54,51.33,25,74.62,149.44
22/04/2018 19:00,22/04/2018 20:00,2684,58.4,55,31,83.91,158.64
22/04/2018 20:00,22/04/2018 21:00,2685,58,58,30.77,85.97,168.07
22/04/2018 21:00,22/04/2018 22:00,2686,67.96,53.4,32.96,85.38,164.32
22/04/2018 22:00,22/04/2018 23:00,2687,65.07,38.21,29.86,78.12,148.62
22/04/2018 23:00,23/04/2018 00:00,2688,42,35.98,22.41,64.31,130.09
23/04/2018 00:00,23/04/2018 01:00,2689,50.09,32.93,25,65.59,144.95
23/04/2018 01:00,23/04/2018 02:00,2690,34,33.66,20.4,57.86,134.76
23/04/2018 02:00,23/04/2018 03:00,2691,33.4,33.92,21.49,55.91,133.3
23/04/2018 03:00,23/04/2018 04:00,2692,30,33.65,22.5,59,126.06
23/04/2018 04:00,23/04/2018 05:00,2693,25.5,34.21,22,58.92,117.02
23/04/2018 05:00,23/04/2018 06:00,2694,25,34.32,25,55.17,114.76
23/04/2018 06:00,23/04/2018 07:00,2695,36.9,44.6,30.31,61.58,116.6
23/04/2018 07:00,23/04/2018 08:00,2696,50,48.71,35,73.97,129.93
23/04/2018 08:00,23/04/2018 09:00,2697,49.2,55,33.77,84.69,142.83
23/04/2018 09:00,23/04/2018 10:00,2698,60.2,51.12,35.5,85,155.59
23/04/2018 10:00,23/04/2018 11:00,2699,55.57,39.14,31.5,77.68,153.27
23/04/2018 11:00,23/04/2018 12:00,2700,46,35.61,24.42,64.36,148.1
23/04/2018 12:00,23/04/2018 13:00,2701,44.5,34.91,20.1,62.41,128.35
23/04/2018 13:00,23/04/2018 14:00,2702,47,34,20,58.71,95.65
23/04/2018 14:00,23/04/2018 15:00,2703,45.9,30,17.61,58.39,77.78
23/04/2018 15:00,23/04/2018 16:00,2704,41.55,33.58,13.58,54.44,60.25
23/04/2018 16:00,23/04/2018 17:00,2705,44.7,36.09,19.1,54,71.19
23/04/2018 17:00,23/04/2018 18:00,2706,58.01,40,26,58.4,98.03
23/04/2018 18:00,23/04/2018 19:00,2707,68.1,45,30.6,76.04,125.21
23/04/2018 19:00,23/04/2018 20:00,2708,70,48,36.2,84.9,150
23/04/2018 20:00,23/04/2018 21:00,2709,62,53,36.71,83.49,154.76
23/04/2018 21:00,23/04/2018 22:00,2710,65.4,49,35,82.48,157.54
23/04/2018 22:00,23/04/2018 23:00,2711,48,36.3,31.24,70.28,150.05
23/04/2018 23:00,24/04/2018 00:00,2712,40,37.67,26.86,62.15,141.21
24/04/2018 00:00,24/04/2018 01:00,2713,45.93,30.48,25.02,64.98,150.02
24/04/2018 01:00,24/04/2018 02:00,2714,35.1,30.4,21,59.41,140
24/04/2018 02:00,24/04/2018 03:00,2715,37.56,29.38,19.8,59.4,143.37
24/04/2018 03:00,24/04/2018 04:00,2716,39.39,29.11,19.8,62,119.46
24/04/2018 04:00,24/04/2018 05:00,2717,36,28.8,18.8,57.47,111.87
24/04/2018 05:00,24/04/2018 06:00,2718,34.95,33.26,19.75,56.1,112
24/04/2018 06:00,24/04/2018 07:00,2719,50,38.55,23.97,56.56,117.6
24/04/2018 07:00,24/04/2018 08:00,2720,55.08,48.93,32,60.08,118.76
24/04/2018 08:00,24/04/2018 09:00,2721,44.3,55.3,27.72,69.02,129.94
24/04/2018 09:00,24/04/2018 10:00,2722,51,53.92,35,78,141.66
24/04/2018 10:00,24/04/2018 11:00,2723,54.6,45,31.2,81.2,145.24
24/04/2018 11:00,24/04/2018 12:00,2724,58.44,36.93,27.17,73.94,141.92
24/04/2018 12:00,24/04/2018 13:00,2725,50,32.66,21.24,63.95,138.2
24/04/2018 13:00,24/04/2018 14:00,2726,50,29.98,21,62.39,131.2
24/04/2018 14:00,24/04/2018 15:00,2727,47.96,28.57,18.6,54.07,130.56
24/04/2018 15:00,24/04/2018 16:00,2728,48,29.98,16.3,51.33,134
24/04/2018 16:00,24/04/2018 17:00,2729,48.08,35.9,19.8,54.02,143.54
24/04/2018 17:00,24/04/2018 18:00,2730,61.5,40.52,25.17,54.27,148.14
24/04/2018 18:00,24/04/2018 19:00,2731,72,41.5,32.66,71.3,155.5
24/04/2018 19:00,24/04/2018 20:00,2732,74.06,41.47,36,80.41,163.21
24/04/2018 20:00,24/04/2018 21:00,2733,65.69,47.88,34.99,81.93,168.58
24/04/2018 21:00,24/04/2018 22:00,2734,69.82,48,35.15,78.99,167
24/04/2018 22:00,24/04/2018 23:00,2735,51,36,29,65.95,161.25
24/04/2018 23:00,25/04/2018 00:00,2736,49.54,43,25,59.34,146.98
25/04/2018 00:00,25/04/2018 01:00,2737,50.01,34.42,35,57.67,151.12
25/04/2018 01:00,25/04/2018 02:00,2738,44.01,34.44,29.91,50.01,139.48
25/04/2018 02:00,25/04/2018 03:00,2739,44,31,24.93,54.44,143.33
25/04/2018 03:00,25/04/2018 04:00,2740,42.71,30.93,22.01,54.93,146.52
25/04/2018 04:00,25/04/2018 05:00,2741,42.57,32.18,18,53.06,145.36
25/04/2018 05:00,25/04/2018 06:00,2742,42.37,35.76,17.98,47.97,150.58
25/04/2018 06:00,25/04/2018 07:00,2743,44,42.1,18,50.44,178.9
25/04/2018 07:00,25/04/2018 08:00,2744,56,42.82,21.19,58.38,197.07
25/04/2018 08:00,25/04/2018 09:00,2745,65.21,50.9,23.6,50.78,206
25/04/2018 09:00,25/04/2018 10:00,2746,72,50.29,30.63,59.22,196.02
25/04/2018 10:00,25/04/2018 11:00,2747,59.3,42.94,30.99,62.69,185.43
25/04/2018 11:00,25/04/2018 12:00,2748,45,42,27.98,67.63,175.41
25/04/2018 12:00,25/04/2018 13:00,2749,44.99,37.78,23.28,69.52,168.7
25/04/2018 13:00,25/04/2018 14:00,2750,43.6,34.93,21.08,74.77,162.51
25/04/2018 14:00,25/04/2018 15:00,2751,42.5,34,18,64.28,157.67
25/04/2018 15:00,25/04/2018 16:00,2752,42.39,33.08,16,48.45,153.75
25/04/2018 16:00,25/04/2018 17:00,2753,42,36.4,18,48.1,151.44
25/04/2018 17:00,25/04/2018 18:00,2754,48.1,44.5,25.14,56.14,169.79
25/04/2018 18:00,25/04/2018 19:00,2755,53.1,52.4,28.24,69.6,193.17
25/04/2018 19:00,25/04/2018 20:00,2756,56.8,53.57,31.47,74.89,210.87
25/04/2018 20:00,25/04/2018 21:00,2757,53.4,55,32.5,80.01,212.01
25/04/2018 21:00,25/04/2018 22:00,2758,57.71,49.62,33.02,82.08,207.93
25/04/2018 22:00,25/04/2018 23:00,2759,51.07,39.78,31.99,73.97,190.66
25/04/2018 23:00,26/04/2018 00:00,2760,42.2,43,29.13,66.72,169.67
26/04/2018 00:00,26/04/2018 01:00,2761,46,37.1,37,59.76,130.07
26/04/2018 01:00,26/04/2018 02:00,2762,46.99,32.48,28.51,50.56,129.91
26/04/2018 02:00,26/04/2018 03:00,2763,45.1,30.57,27.67,57.77,134.95
26/04/2018 03:00,26/04/2018 04:00,2764,44.41,31.46,24.8,62.4,130.53
26/04/2018 04:00,26/04/2018 05:00,2765,40,32.64,21,60.21,125.07
26/04/2018 05:00,26/04/2018 06:00,2766,37.52,38.23,19.28,57.73,125.04
26/04/2018 06:00,26/04/2018 07:00,2767,48,44.96,18,63.58,125.09
26/04/2018 07:00,26/04/2018 08:00,2768,58.95,51.53,20,71.3,188.05
26/04/2018 08:00,26/04/2018 09:00,2769,50,57.3,16.57,90.01,209.99
26/04/2018 09:00,26/04/2018 10:00,2770,64,54,24.36,90.99,205.15
26/04/2018 10:00,26/04/2018 11:00,2771,50.12,43.5,26.01,84,190.74
26/04/2018 11:00,26/04/2018 12:00,2772,44.01,41.22,26.7,69,172.46
26/04/2018 12:00,26/04/2018 13:00,2773,44.01,41.22,24.1,59.95,164
26/04/2018 13:00,26/04/2018 14:00,2774,44,38,26.36,58,160.18
26/04/2018 14:00,26/04/2018 15:00,2775,44,36,19.8,50.58,160.61
26/04/2018 15:00,26/04/2018 16:00,2776,44.01,37.7,13.7,46.36,160.1
26/04/2018 16:00,26/04/2018 17:00,2777,41.32,39.94,19.8,48.79,162
26/04/2018 17:00,26/04/2018 18:00,2778,45.8,44.5,27.37,58.52,188.01
26/04/2018 18:00,26/04/2018 19:00,2779,51.64,44.7,29.82,77.91,215.52
26/04/2018 19:00,26/04/2018 20:00,2780,56.36,43.66,34,85,233
26/04/2018 20:00,26/04/2018 21:00,2781,65.9,42.67,32.82,84.97,229.9
26/04/2018 21:00,26/04/2018 22:00,2782,71.99,41,33.61,82.43,220
26/04/2018 22:00,26/04/2018 23:00,2783,69.95,38.1,31.3,77.65,208.15
26/04/2018 23:00,27/04/2018 00:00,2784,50.01,43,27,60.04,143.1
27/04/2018 00:00,27/04/2018 01:00,2785,45.5,37.1,26,61.93,130
27/04/2018 01:00,27/04/2018 02:00,2786,43.92,32.48,18.05,52.07,129.08
27/04/2018 02:00,27/04/2018 03:00,2787,46,30.57,16.46,53.4,131
27/04/2018 03:00,27/04/2018 04:00,2788,46.42,31.46,17,57.95,131.01
27/04/2018 04:00,27/04/2018 05:00,2789,43.16,32.64,14.66,57.68,129.83
27/04/2018 05:00,27/04/2018 06:00,2790,40.7,38.23,16.46,57.97,120.09
27/04/2018 06:00,27/04/2018 07:00,2791,43.12,44.96,19.31,63,129.58
27/04/2018 07:00,27/04/2018 08:00,2792,43.96,51.53,26,72,191.41
27/04/2018 08:00,27/04/2018 09:00,2793,60,57.3,23.65,77.91,231.6
27/04/2018 09:00,27/04/2018 10:00,2794,79.99,54,28.84,84.94,219.91
27/04/2018 10:00,27/04/2018 11:00,2795,85.95,43.5,28.5,85.17,193.59
27/04/2018 11:00,27/04/2018 12:00,2796,78.99,41.22,25,75.8,188.46
27/04/2018 12:00,27/04/2018 13:00,2797,75.3,41.22,28,67.12,185.5
27/04/2018 13:00,27/04/2018 14:00,2798,71.53,38,28.7,71.41,180.04
27/04/2018 14:00,27/04/2018 15:00,2799,67.3,36,27.24,68.01,175.05
27/04/2018 15:00,27/04/2018 16:00,2800,52.1,37.7,20.7,58.01,170.6
27/04/2018 16:00,27/04/2018 17:00,2801,45,39.94,22,56.93,170.41
27/04/2018 17:00,27/04/2018 18:00,2802,59.4,44.5,27.75,58.01,193.01
27/04/2018 18:00,27/04/2018 19:00,2803,55,44.7,32,69.96,217.12
27/04/2018 19:00,27/04/2018 20:00,2804,58,43.66,37,77.99,235.08
27/04/2018 20:00,27/04/2018 21:00,2805,58,42.67,35,75.18,236.02
27/04/2018 21:00,27/04/2018 22:00,2806,56.89,41,34,66.39,224.65
27/04/2018 22:00,27/04/2018 23:00,2807,52.56,38.1,29.01,59.01,210.02
27/04/2018 23:00,28/04/2018 00:00,2808,48.55,52.84,22.06,52.65,180.8
28/04/2018 00:00,28/04/2018 01:00,2809,55.5,32.5,32,58.02,130.01
28/04/2018 01:00,28/04/2018 02:00,2810,46.73,30.23,21.84,52.9,130.01
28/04/2018 02:00,28/04/2018 03:00,2811,46.73,30.9,21.17,56.44,137.42
28/04/2018 03:00,28/04/2018 04:00,2812,42.51,29.26,20.93,56.48,137.44
28/04/2018 04:00,28/04/2018 05:00,2813,41.7,30.14,18,52.99,131.24
28/04/2018 05:00,28/04/2018 06:00,2814,40,36.56,17.94,52.89,130.76
28/04/2018 06:00,28/04/2018 07:00,2815,40,42,20.87,63.91,130.01
28/04/2018 07:00,28/04/2018 08:00,2816,41.97,28.29,22.48,66.9,214.58
28/04/2018 08:00,28/04/2018 09:00,2817,44.05,41,23.12,69.81,240.01
28/04/2018 09:00,28/04/2018 10:00,2818,51.07,39,25.49,69.92,224.97
28/04/2018 10:00,28/04/2018 11:00,2819,60,45.3,26.86,69.87,208.57
28/04/2018 11:00,28/04/2018 12:00,2820,58,45.41,25.15,64.61,192.1
28/04/2018 12:00,28/04/2018 13:00,2821,53,49,25.15,63.33,183.37
28/04/2018 13:00,28/04/2018 14:00,2822,50.2,50,28.46,71.48,174.76
28/04/2018 14:00,28/04/2018 15:00,2823,44,50,26.45,60.33,170.7
28/04/2018 15:00,28/04/2018 16:00,2824,43.01,39.1,23.13,58.4,170.01
28/04/2018 16:00,28/04/2018 17:00,2825,43.51,42,26.68,58.58,172.81
28/04/2018 17:00,28/04/2018 18:00,2826,43.97,49.7,30.8,65.98,204.2
28/04/2018 18:00,28/04/2018 19:00,2827,58,55.3,35.3,76.96,229.99
28/04/2018 19:00,28/04/2018 20:00,2828,69.94,60.05,37.77,80.34,246.62
28/04/2018 20:00,28/04/2018 21:00,2829,67,63.15,31.1,76.93,244.08
28/04/2018 21:00,28/04/2018 22:00,2830,66,63,29.83,73.81,235.37
28/04/2018 22:00,28/04/2018 23:00,2831,63.87,43.1,29.4,65.13,219.76
28/04/2018 23:00,29/04/2018 00:00,2832,45.99,51.1,22.92,58.1,186.66
29/04/2018 00:00,29/04/2018 01:00,2833,61.94,34.33,32,60.98,166.5
29/04/2018 01:00,29/04/2018 02:00,2834,55,36.56,24.97,53.08,158.21
29/04/2018 02:00,29/04/2018 03:00,2835,52,34.2,22.65,56.59,157.63
29/04/2018 03:00,29/04/2018 04:00,2836,47.35,36.17,20,60.43,157.6
29/04/2018 04:00,29/04/2018 05:00,2837,46,34.2,16.89,59.49,156.23
29/04/2018 05:00,29/04/2018 06:00,2838,39.99,41.46,17.19,58.44,158.76
29/04/2018 06:00,29/04/2018 07:00,2839,38.55,46.78,19.79,62,155.06
29/04/2018 07:00,29/04/2018 08:00,2840,42,54.5,23,68.62,210
29/04/2018 08:00,29/04/2018 09:00,2841,41.07,61.6,26,74.91,225.74
29/04/2018 09:00,29/04/2018 10:00,2842,44.84,58.77,30.4,75.46,214.43
29/04/2018 10:00,29/04/2018 11:00,2843,45.7,49.9,32,71.63,196.84
29/04/2018 11:00,29/04/2018 12:00,2844,54,40.9,29,66,183.14
29/04/2018 12:00,29/04/2018 13:00,2845,56,38.12,29.83,61.6,175.1
29/04/2018 13:00,29/04/2018 14:00,2846,60.29,36.05,30,66.78,163.41
29/04/2018 14:00,29/04/2018 15:00,2847,51.5,35.1,24,61.59,158.01
29/04/2018 15:00,29/04/2018 16:00,2848,45.89,35.59,19.4,61.59,157.57
29/04/2018 16:00,29/04/2018 17:00,2849,44.3,38.25,18,61.6,161.25
29/04/2018 17:00,29/04/2018 18:00,2850,54,46.05,23,70.06,180.09
29/04/2018 18:00,29/04/2018 19:00,2851,70,49.91,32,76.65,206.43
29/04/2018 19:00,29/04/2018 20:00,2852,71.2,52,35,89.11,217.83
29/04/2018 20:00,29/04/2018 21:00,2853,58,52,31.3,87.37,217.08
29/04/2018 21:00,29/04/2018 22:00,2854,58,44.2,30.43,85.01,210.75
29/04/2018 22:00,29/04/2018 23:00,2855,52,36.9,26.34,82.55,204
29/04/2018 23:00,30/04/2018 00:00,2856,43.03,40.03,18.8,65.01,184.2
30/04/2018 00:00,30/04/2018 01:00,2857,50.99,34.47,30.1,62.44,169.32
30/04/2018 01:00,30/04/2018 02:00,2858,50,34.23,19.35,60.05,147.4
30/04/2018 02:00,30/04/2018 03:00,2859,42.53,34.19,15.12,60.08,142.46
30/04/2018 03:00,30/04/2018 04:00,2860,42.58,33.8,15.3,60.4,139.98
30/04/2018 04:00,30/04/2018 05:00,2861,40.98,32.9,15,60.03,131.96
30/04/2018 05:00,30/04/2018 06:00,2862,40,40.27,15,60.02,139.91
30/04/2018 06:00,30/04/2018 07:00,2863,44,46.03,17.22,64.3,125.05
30/04/2018 07:00,30/04/2018 08:00,2864,50.51,53.13,21.48,73.49,139.92
30/04/2018 08:00,30/04/2018 09:00,2865,47.5,52,21.52,86.23,158.5
30/04/2018 09:00,30/04/2018 10:00,2866,64.94,48,21.92,91.44,158.2
30/04/2018 10:00,30/04/2018 11:00,2867,64.99,39.88,23.26,89.5,150.04
30/04/2018 11:00,30/04/2018 12:00,2868,58.7,36.56,23.5,79.57,137.41
30/04/2018 12:00,30/04/2018 13:00,2869,47.5,36.1,26.34,71.3,129.33
30/04/2018 13:00,30/04/2018 14:00,2870,45.51,36,29,72.44,120.01
30/04/2018 14:00,30/04/2018 15:00,2871,44,35.59,29.16,62.16,111.07
30/04/2018 15:00,30/04/2018 16:00,2872,42.58,36.42,25,60.09,105.26
30/04/2018 16:00,30/04/2018 17:00,2873,42.06,43.4,25,60.03,110.04
30/04/2018 17:00,30/04/2018 18:00,2874,48,52.52,28,74.29,142.83
30/04/2018 18:00,30/04/2018 19:00,2875,71,55.06,32.61,94.64,160.53
30/04/2018 19:00,30/04/2018 20:00,2876,75,54.2,35.03,119.08,176.91
30/04/2018 20:00,30/04/2018 21:00,2877,71.03,55.5,32,106,177.5
30/04/2018 21:00,30/04/2018 22:00,2878,66,55.08,30.8,96.67,175.74
30/04/2018 22:00,30/04/2018 23:00,2879,55,38.64,33.68,90,165.99
30/04/2018 23:00,01/05/2018 00:00,2880,44.85,40.94,28,75.23,111.99
01/05/2018 00:00,01/05/2018 01:00,2881,48,37.26,32,74.91,109.34
01/05/2018 01:00,01/05/2018 02:00,2882,43.65,37.03,22,63.43,94.51
01/05/2018 02:00,01/05/2018 03:00,2883,43.75,36.54,18.43,63.45,111.85
01/05/2018 03:00,01/05/2018 04:00,2884,47.07,35.44,16.4,64.38,95.92
01/05/2018 04:00,01/05/2018 05:00,2885,43.49,35.21,15.12,60.09,98.24
01/05/2018 05:00,01/05/2018 06:00,2886,43.51,36.58,15.91,56.13,93.1
01/05/2018 06:00,01/05/2018 07:00,2887,47.91,41,17.17,54.98,95.59
01/05/2018 07:00,01/05/2018 08:00,2888,53,55.05,25.92,57,91.74
01/05/2018 08:00,01/05/2018 09:00,2889,75.01,60,27,66.34,85.54
01/05/2018 09:00,01/05/2018 10:00,2890,75.92,57.63,32,79,116.64
01/05/2018 10:00,01/05/2018 11:00,2891,68.18,56,30,87.07,126.59
01/05/2018 11:00,01/05/2018 12:00,2892,51.4,52.6,26.37,82.38,130.96
01/05/2018 12:00,01/05/2018 13:00,2893,49.88,50,25.2,78.6,127.73
01/05/2018 13:00,01/05/2018 14:00,2894,51.21,44,26,78.82,122.01
01/05/2018 14:00,01/05/2018 15:00,2895,44.1,37.54,18.11,54.06,113.19
01/05/2018 15:00,01/05/2018 16:00,2896,41.98,38,12.2,51.01,111.3
01/05/2018 16:00,01/05/2018 17:00,2897,40,48,15.5,51.01,117.24
01/05/2018 17:00,01/05/2018 18:00,2898,44.1,53.13,20.91,54.17,144.47
01/05/2018 18:00,01/05/2018 19:00,2899,50,52.01,28.94,74.07,174.06
01/05/2018 19:00,01/05/2018 20:00,2900,56,48.08,33.33,86.2,188.13
01/05/2018 20:00,01/05/2018 21:00,2901,53,51,32,90.04,192.89
01/05/2018 21:00,01/05/2018 22:00,2902,51.89,46.31,31.13,90.99,189.97
01/05/2018 22:00,01/05/2018 23:00,2903,47.4,37.03,29.7,90,186.09
01/05/2018 23:00,02/05/2018 00:00,2904,39.91,39.5,27.1,78.25,163.64
02/05/2018 00:00,02/05/2018 01:00,2905,42.54,36,34.01,73.33,132.22
02/05/2018 01:00,02/05/2018 02:00,2906,37,36,22.18,61.95,99.99
02/05/2018 02:00,02/05/2018 03:00,2907,42,35.3,17.5,64.1,104.96
02/05/2018 03:00,02/05/2018 04:00,2908,44,34.33,16,66.03,103.41
02/05/2018 04:00,02/05/2018 05:00,2909,47.48,34,15.31,61.03,94.56
02/05/2018 05:00,02/05/2018 06:00,2910,47.9,37.01,14.86,55.83,95.04
02/05/2018 06:00,02/05/2018 07:00,2911,48.09,40.35,15,56.83,99.91
02/05/2018 07:00,02/05/2018 08:00,2912,54.12,46.77,15.71,57.71,99.86
02/05/2018 08:00,02/05/2018 09:00,2913,52.36,53,10,64.66,137.59
02/05/2018 09:00,02/05/2018 10:00,2914,71.91,47.85,20.88,67.84,175
02/05/2018 10:00,02/05/2018 11:00,2915,70,39,26,66.99,172.79
02/05/2018 11:00,02/05/2018 12:00,2916,54,37,27.23,71.99,166.33
02/05/2018 12:00,02/05/2018 13:00,2917,48.99,36.94,31,74.01,158.05
02/05/2018 13:00,02/05/2018 14:00,2918,46.53,36.88,33,81,156.73
02/05/2018 14:00,02/05/2018 15:00,2919,43.7,35.9,29.72,69.69,153.53
02/05/2018 15:00,02/05/2018 16:00,2920,39.98,36,26.15,61.39,156.37
02/05/2018 16:00,02/05/2018 17:00,2921,39.98,43.44,23.46,61.11,168.56
02/05/2018 17:00,02/05/2018 18:00,2922,45.71,52.8,31,67.43,182.69
02/05/2018 18:00,02/05/2018 19:00,2923,56,53.99,29.98,83.74,208.5
02/05/2018 19:00,02/05/2018 20:00,2924,67,53.66,34.99,89.96,219.48
02/05/2018 20:00,02/05/2018 21:00,2925,70,53.95,35.42,92,215.35
02/05/2018 21:00,02/05/2018 22:00,2926,71.98,53.66,35,91.99,199.91
02/05/2018 22:00,02/05/2018 23:00,2927,60,36.82,33.6,77,181.24
02/05/2018 23:00,03/05/2018 00:00,2928,47.52,40,30.98,71.82,141.94
03/05/2018 00:00,03/05/2018 01:00,2929,54.31,35.68,34.09,74.08,138.65
03/05/2018 01:00,03/05/2018 02:00,2930,43.19,35.54,27.91,64.18,109.95
03/05/2018 02:00,03/05/2018 03:00,2931,43.03,35.71,28,64.94,114.94
03/05/2018 03:00,03/05/2018 04:00,2932,43.31,35.44,26,73.85,110.06
03/05/2018 04:00,03/05/2018 05:00,2933,43.44,35.1,22.83,63.7,109.91
03/05/2018 05:00,03/05/2018 06:00,2934,43.56,37.14,21.32,62.09,100.97
03/05/2018 06:00,03/05/2018 07:00,2935,48,43,18.5,65.88,111.98
03/05/2018 07:00,03/05/2018 08:00,2936,58,54.56,19.25,75.79,172.85
03/05/2018 08:00,03/05/2018 09:00,2937,65.3,56,16.2,81.95,219.99
03/05/2018 09:00,03/05/2018 10:00,2938,74,55.9,19.19,82.01,209.9
03/05/2018 10:00,03/05/2018 11:00,2939,63,55,24.73,80.53,190.75
03/05/2018 11:00,03/05/2018 12:00,2940,55.5,49.03,26.72,69,179.25
03/05/2018 12:00,03/05/2018 13:00,2941,45.08,45.93,29,81.2,174.43
03/05/2018 13:00,03/05/2018 14:00,2942,46,41.72,32,81.01,173.03
03/05/2018 14:00,03/05/2018 15:00,2943,44.83,40,30,64.7,171.61
03/05/2018 15:00,03/05/2018 16:00,2944,44.82,39.7,25,45.84,171.77
03/05/2018 16:00,03/05/2018 17:00,2945,44,42.06,27.6,43.51,174.65
03/05/2018 17:00,03/05/2018 18:00,2946,51.95,44.96,33.23,49.15,193.26
